sample,DGCCA_28,DGCCA_69
TCGA-AR-A0TW-01,0.045468975,0.050724898
TCGA-AR-A0TX-01,0.026360309,0.1408914
TCGA-AR-A0TY-01,-0.003851749,0.014865742
TCGA-AR-A0TZ-01,0.009260971,0.028434783
TCGA-AR-A0U0-01,-0.0075840224,-0.05718919
TCGA-AR-A0U1-01,0.16627862,0.075830676
TCGA-AR-A0U2-01,-0.0060634594,0.0012746602
TCGA-AR-A0U3-01,0.023057513,-0.011623561
TCGA-AR-A0U4-01,0.015561636,0.047497116
TCGA-AR-A1AH-01,0.007861639,-0.0036167554
TCGA-AR-A1AI-01,-0.025598109,-0.0066435304
TCGA-AR-A1AJ-01,0.07892217,0.11363983
TCGA-AR-A1AK-01,0.011035434,0.0005861361
TCGA-AR-A1AL-01,0.022773275,0.02539956
TCGA-AR-A1AM-01,-0.023570038,-0.023665909
TCGA-AR-A1AN-01,-0.023012444,0.065956995
TCGA-AR-A1AO-01,0.010693716,-0.010246829
TCGA-AR-A1AP-01,-0.018009735,-0.027138785
TCGA-AR-A1AQ-01,0.0050235456,0.0037199855
TCGA-AR-A1AR-01,0.09765562,0.0043561095
TCGA-AR-A1AS-01,0.0038262135,0.033999782
TCGA-AR-A1AT-01,-0.044627395,-0.04793191
TCGA-AR-A1AU-01,-0.0018052505,0.045763265
TCGA-AR-A1AV-01,-0.08387207,0.045316704
TCGA-AR-A1AW-01,-0.0022277369,0.08529618
TCGA-AR-A1AX-01,-0.02721793,0.03707632
TCGA-AR-A1AY-01,0.016645823,0.002766532
TCGA-AR-A24H-01,0.052215107,-0.035661668
TCGA-AR-A24K-01,0.005899327,0.00064156577
TCGA-AR-A24L-01,0.011165612,-0.034520306
TCGA-AR-A24M-01,0.041665245,0.006209134
TCGA-AR-A24N-01,-0.0599237,0.022043345
TCGA-AR-A24O-01,0.016255293,-0.004343766
TCGA-AR-A24P-01,-0.022030735,0.06625857
TCGA-AR-A24Q-01,-0.007520335,-0.049493574
TCGA-AR-A24R-01,-0.008039724,-0.035678774
TCGA-AR-A24S-01,0.011670808,0.032784835
TCGA-AR-A24T-01,-0.06012801,0.06447275
TCGA-AR-A24U-01,-0.013324782,0.024205668
TCGA-AR-A24V-01,-0.06682852,0.0014242543
TCGA-AR-A24W-01,-0.039998166,0.055219427
TCGA-AR-A24X-01,0.049064294,0.010360695
