sample,DGCCA_16,DGCCA_28,DGCCA_31,DGCCA_38,DGCCA_71,DGCCA_82,DGCCA_88
TCGA-A7-A3RF-01,-0.01710039,-0.00041551888,0.042974055,-0.0022753463,0.008476255,-0.017125437,0.054948747
TCGA-A7-A425-01,0.00803429,0.01354327,-0.0095512,0.038445663,-0.03825996,0.010267193,-0.0014058072
TCGA-A7-A426-01,0.014795028,-0.01906943,0.07028732,0.008236268,-0.032520995,0.032004245,-0.030082159
TCGA-A7-A4SA-01,0.0123102665,0.036827404,-0.008661179,-0.043038364,0.009874242,-0.010741515,-0.0076579945
TCGA-A7-A4SB-01,0.008932421,-0.0145247495,-0.005799611,0.03680264,-0.06721351,0.03155747,-0.03153288
TCGA-A7-A4SC-01,0.012483084,-0.03214903,-0.004364783,-0.0019047763,0.006277036,0.011141865,0.013861107
TCGA-A7-A4SD-01,-0.018632554,-0.018222665,-0.0040788716,-0.026140168,0.031841565,-0.004225285,0.0021791174
TCGA-A7-A4SE-01,0.00631045,0.02632193,-0.009820489,-0.028030803,0.023218209,0.011504843,0.018545836
TCGA-A7-A4SF-01,0.03667876,-0.03935355,-0.00047896244,-0.00086390716,0.019538332,-0.02933278,0.014307402
TCGA-A7-A56D-01,0.040716168,-0.052992333,0.005996137,0.0072608814,0.015007921,-0.021921445,0.032469235
TCGA-A7-A5ZV-01,-0.02464739,-0.012406296,-0.050668955,0.006550124,0.052614324,-0.036820177,0.0095490655
TCGA-A7-A5ZW-01,-0.01824339,-0.012787846,-0.0046267062,0.040832683,-0.06654492,0.0342999,0.011948161
TCGA-A7-A5ZX-01,-0.0064506494,-0.0031434712,0.024532184,0.04499406,0.08298673,-0.027347695,-0.039510407
TCGA-A7-A6VV-01,-0.0028817318,0.008499296,0.018238397,0.022937357,-0.022460865,0.0008097058,-0.05389542
TCGA-A7-A6VW-01,0.030054519,-0.058068797,-0.005628062,0.0029415046,0.051836014,0.023323175,-0.03478828
TCGA-A7-A6VX-01,0.0041589113,-0.020933095,-0.007302534,0.010546522,0.01904855,0.0050929133,0.07170425
TCGA-A7-A6VY-01,0.015391591,0.024547683,-0.037027292,0.0022447137,0.008296423,-0.010709718,0.016691506
